	"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
aroF	771.5178339	676.6001066	913.8944248	1.350715756	0.433724107	8.92E-05	0.001994568
nusB	1411.496289	1118.659299	1850.751774	1.654437392	0.726340697	9.42E-05	0.002086198
spaQ	56.85892803	40.75179207	81.01963198	1.988124396	0.991408028	9.42E-05	0.002086198
t4330	394.7271282	325.1278169	499.1260953	1.535168846	0.618397339	0.000101185	0.002229161
t1412	346.4485838	395.1747317	273.359362	0.691743019	-0.531691915	0.000104446	0.002289332
ddlA	1277.252944	1463.552249	997.8039861	0.681768613	-0.552645913	0.00010692	0.002331714
rpmJ	311.7674879	368.0165498	227.3938952	0.617890406	-0.694577123	0.00011033	0.002394005
fdoI	1466.528618	1285.648376	1737.848981	1.351729612	0.434806597	0.000113525	0.002451015
fucI	209.607328	177.7405766	257.4074551	1.448219985	0.534280765	0.000118175	0.002538697
rcsF	760.7638528	848.5596805	629.0701111	0.741338677	-0.431795313	0.000119535	0.002555203
cyaY	515.3602094	589.8908218	403.5642908	0.68413387	-0.547649438	0.000121476	0.002583917
ssaG	32609.48486	37299.41583	25574.58842	0.68565654	-0.544442013	0.000122822	0.002599739
t2566	269.5799154	305.8104207	215.2341575	0.703815642	-0.506730518	0.000123491	0.002601133
t1164	534.6113904	600.704807	435.4712655	0.724933878	-0.464078683	0.000126327	0.002615689
t1547	138.1468967	161.9722589	102.4088534	0.632261685	-0.661406299	0.000125581	0.002615689
t1577	533.7197061	618.0852785	407.1713474	0.65876241	-0.602169861	0.000126605	0.002615689
rluB	740.1305484	831.5220369	603.0433157	0.725228303	-0.463492866	0.000124872	0.002615689
t3084	894.0202943	784.016108	1059.026574	1.350771449	0.43378359	0.000128228	0.002636603
t1576	3681.199462	4125.986011	3014.019638	0.730496814	-0.453050113	0.000129073	0.0026414
yajI	198.8905933	230.2210577	151.8948968	0.659778468	-0.599946398	0.000131302	0.002674339
oppA	16318.66145	13944.48721	19879.92283	1.425647464	0.511617275	0.000135336	0.002743566
t1641	104.1693901	123.9586619	74.48548232	0.600889693	-0.734827918	0.000144247	0.002910557
t0660	424.6832883	367.9018503	509.8554453	1.385846374	0.470767339	0.000147242	0.002957172
tviA	51773.09234	63809.34849	33718.70812	0.528428967	-0.920218541	0.000149746	0.002993537
acnB	13049.58958	11279.93059	15704.07808	1.392214071	0.477381061	0.000156686	0.003117827
ybgF	2119.520942	1862.305482	2505.344132	1.345291713	0.427919041	0.000158747	0.003144348
t2263	195.4706011	223.4401832	153.5162279	0.687057385	-0.541497493	0.00016091	0.00317265
t1120	60.86572658	73.92771385	41.27274568	0.558285162	-0.840925883	0.000167091	0.003278523
yihI	808.7121931	911.1857047	655.0019258	0.7188457	-0.476245965	0.000167798	0.003278523
t0522	386.4644969	327.353047	475.1316718	1.451435006	0.537479971	0.000176839	0.003439602
yabJ	260.3206634	222.3239188	317.3157802	1.427267843	0.513256099	0.000179339	0.003457073
t4565	208.0314513	253.8922133	139.2403082	0.548422917	-0.866639237	0.000178598	0.003457073
ivbL	126.8861288	148.2958502	94.77154674	0.639070794	-0.645952338	0.000180456	0.003463148
pgk	3584.305473	3150.433827	4235.112941	1.344295159	0.426849937	0.000183094	0.003482825
t4548	35.8985891	45.25504183	21.86391001	0.483126501	-1.049527104	0.000182824	0.003482825
phsC	674.6869415	592.8775118	797.4010861	1.344967671	0.427571495	0.000185995	0.003511076
motA	834.2798543	705.0817665	1028.076986	1.458096117	0.544085825	0.000186206	0.003511076
t3281	66.91403607	81.08802104	45.65305863	0.5630062	-0.828777284	0.000193052	0.003624337
yfjA	3197.742461	3555.725692	2660.767615	0.748305085	-0.418301517	0.000195431	0.003653129
crr	4468.816964	3923.522616	5286.758488	1.347452024	0.430233906	0.000209202	0.003893677
t3411	574.5359684	650.000653	461.3389414	0.709751505	-0.494614093	0.000212823	0.003944078
nfo	476.515146	419.0972647	562.6419679	1.342509282	0.424932063	0.000214119	0.003951137
t1989	1715.793026	1915.155355	1416.749532	0.739756975	-0.4348767	0.00021737	0.003994058
dut	323.9081809	366.7983325	259.5729535	0.70767212	-0.498847013	0.000233813	0.004277987
t2520	234.4280567	277.7962119	169.375824	0.609712504	-0.713798961	0.000239449	0.004362627
t1403	846.5581134	708.7537233	1053.264698	1.486079951	0.571511735	0.000243006	0.004395556
tesB	940.8721424	833.8635814	1101.384984	1.320821545	0.401435559	0.000243293	0.004395556
rfaD	4507.51139	3970.859863	5312.488679	1.337868588	0.419936415	0.000246655	0.004437742
t3733	1833.240467	2104.725432	1426.013019	0.677529238	-0.561644888	0.000255739	0.004582086
prpC	370.8531906	284.5752724	500.2700679	1.757953401	0.813896828	0.000265231	0.004732508
t4216	194.7895143	222.4439958	153.3077921	0.689197259	-0.537011132	0.000268523	0.004771529
t1013	82.63168424	103.3332116	51.57939325	0.499156007	-1.002437307	0.000272751	0.004826797
adiY	185.6640291	211.5389674	146.8516217	0.694206006	-0.526564248	0.000276279	0.004869283
yqeF	871.1146353	769.7440659	1023.170489	1.329234657	0.410595814	0.000294563	0.005129982
tktA	4878.765486	4281.133921	5775.212835	1.348991399	0.431881149	0.000294635	0.005129982
yhjD	582.075754	650.5657816	479.3407126	0.73680591	-0.440643462	0.000294082	0.005129982
cydA	925.3983659	809.8962737	1098.651504	1.356533596	0.439924778	0.000296318	0.005138563
t4593	265.5613555	301.2049533	212.0959587	0.70415827	-0.506028363	0.000303157	0.005236121
t3191	310.1346501	355.4557473	242.1530042	0.681246557	-0.55375106	0.000319058	0.005467031
t4180	146.3143179	124.8333105	178.5358291	1.430193819	0.516210674	0.000319053	0.005467031
narK	113.4583633	131.4787438	86.42779248	0.657351827	-0.60526236	0.000324801	0.005526693
t3946	6348.443774	5557.356703	7535.074381	1.355873805	0.439222909	0.0003251	0.005526693
t1010	61.78858562	74.0182595	43.4440748	0.586937265	-0.768721786	0.000334004	0.005623101
t1211	26.50500462	33.22183676	16.42975641	0.494546901	-1.015820748	0.000332409	0.005623101
glgX	673.3392263	597.7785527	786.6802368	1.316006125	0.396166204	0.000334677	0.005623101
t2061	490.6337777	549.8228575	401.8501579	0.730872048	-0.452309236	0.000352937	0.00590691
degQ	1421.295598	1251.302448	1676.285322	1.339632416	0.421837192	0.000354382	0.005908197
nadE	2985.729775	2647.46891	3493.121072	1.31941911	0.399902905	0.000356503	0.005920689
ftsL	685.8779576	601.7131225	812.1252103	1.349688381	0.432626354	0.000365828	0.006029176
gatA	35.88197487	45.27755771	21.78860061	0.481222966	-1.0552226	0.00036489	0.006029176
manZ	2070.389865	1776.341514	2511.462392	1.413839835	0.499618695	0.000374985	0.006133278
fidL	67.98436757	79.88805043	50.12884327	0.627488629	-0.672338778	0.000374453	0.006133278
t1836	294.6586441	329.641188	242.1848281	0.734692256	-0.444788027	0.000384491	0.006265028
modB	152.1056783	128.9057462	186.9055764	1.449939835	0.535993037	0.000387662	0.006292948
t1342	56.23506951	67.68260794	39.06376186	0.577161003	-0.792954271	0.000389359	0.006296818
maA	982.9841879	1092.018569	819.4326163	0.750383409	-0.414300165	0.000391969	0.006315389
yicN	160.1086908	191.6270614	112.8311349	0.588805851	-0.764136088	0.000394795	0.006337265
t0935	81.43520924	96.69729797	58.54207614	0.605415843	-0.724001666	0.000399443	0.006388132
t1470	376.8435214	424.212308	305.7903416	0.720842691	-0.47224364	0.000412927	0.006579413
t1179	460.7161639	513.2158508	381.9666336	0.744261178	-0.426119111	0.000421076	0.006684586
yfbB	202.41607	173.6028327	245.6359261	1.414930403	0.500731093	0.000435905	0.006819707
cheA	2178.984898	1916.270234	2573.056892	1.342742191	0.425182331	0.000432863	0.006819707
mgtB	6605.103654	5624.738409	8075.651522	1.435738151	0.521792655	0.000433323	0.006819707
apl	1466.836863	1253.790571	1786.406301	1.424804383	0.510763859	0.000435432	0.006819707
gntR	1026.191377	1138.306282	858.0190197	0.753768149	-0.40780726	0.000450971	0.007029943
hybA	160.3878858	136.0854711	196.8415078	1.446454983	0.532521424	0.000466082	0.007239363
thiD	129.6862166	110.9546432	157.7835767	1.422054744	0.507977004	0.000478736	0.007409259
t2953	552.4712398	632.5481337	432.3558989	0.683514623	-0.548955893	0.000484372	0.007443132
tufA	7552.472175	6611.089901	8964.545587	1.355986036	0.439342321	0.000483118	0.007443132
cysA	57.81957304	46.38862056	74.96600175	1.616042918	0.692465513	0.000492809	0.007545924
t4333	373.5077506	313.98659	462.7894914	1.47391483	0.559653161	0.000498804	0.007610731
t1031	912.5908491	1011.002897	764.9727764	0.756647462	-0.40230682	0.000511107	0.007743719
t3061	652.7513403	574.6462884	769.9089182	1.339796208	0.422013574	0.000509961	0.007743719
mtn	573.0288989	507.7261737	670.9829867	1.321545001	0.402225552	0.000513342	0.007750394
yehS	819.8373482	959.0085854	611.0804925	0.637200231	-0.650181304	0.000525136	0.007846156
erfK	566.3213445	628.415608	473.1799491	0.752972942	-0.409330072	0.000524955	0.007846156
sucC	6563.430048	5596.908164	8013.212874	1.431721343	0.517750727	0.000524381	0.007846156
t4499	35.10098221	25.99146082	48.7652643	1.87620329	0.907816155	0.00052991	0.007890183
ptsG	8970.871003	7870.159953	10621.93758	1.349646976	0.432582094	0.000538803	0.007995018
t4145	385.6286828	330.8878283	467.7399647	1.413590724	0.499364478	0.000559328	0.008271162
