				Contrast 24h vs zero			
t1258	701.2087611	973.9215911	428.495931	0.439969639	-1.184524123	2.38E-15	1.77E-13
t4169	1353.819231	841.6897467	1865.948716	2.21690798	1.148548888	3.02E-15	2.21E-13
t1095	822.7472115	520.4631875	1125.031236	2.161596175	1.112097027	8.71E-15	6.27E-13
gabD	349.713903	203.856056	495.5717499	2.430988608	1.281543133	9.79E-15	6.93E-13
t0560	2139.509403	2969.282838	1309.735969	0.441095052	-1.180838517	1.81E-14	1.26E-12
t3151	6369.22814	9470.252431	3268.203849	0.345102084	-1.534904909	2.04E-14	1.40E-12
yebG	3566.748412	2209.082579	4924.414245	2.229167118	1.156504778	2.43E-14	1.61E-12
rpmG	706.87984	1009.151213	404.6084671	0.400939385	-1.31854395	2.39E-14	1.61E-12
t0102	3306.598871	4603.135647	2010.062095	0.436672358	-1.195376887	3.69E-14	2.38E-12
gltS	722.654561	467.4472347	977.8618874	2.09191929	1.064827191	3.63E-14	2.38E-12
t1628	782.6507038	1109.472618	455.82879	0.410851771	-1.283310109	4.39E-14	2.79E-12
t1021	2420.403002	3348.037535	1492.768468	0.445863719	-1.165325285	4.53E-14	2.83E-12
t0678	169.9619203	100.1375919	239.7862486	2.394567755	1.259765258	6.82E-14	4.21E-12
fruA	178.6057151	105.8333315	251.3780987	2.375226171	1.248064895	9.94E-14	6.04E-12
t0677	215.7970179	133.3352106	298.2588251	2.236909694	1.161507015	1.18E-13	7.05E-12
t3199	17346.91003	24914.2447	9779.575361	0.392529474	-1.34912711	1.30E-13	7.68E-12
yacC	482.0179639	666.8552584	297.1806695	0.445644937	-1.16603338	1.37E-13	7.99E-12
nemA	598.7629845	395.3723597	802.1536092	2.028856063	1.020666517	1.39E-13	8.00E-12
t0865	468.849588	648.1993776	289.4997984	0.446621531	-1.162875292	1.52E-13	8.64E-12
glgS	640.1871017	398.0603936	882.3138099	2.216532527	1.148304534	1.54E-13	8.64E-12
hydH	632.3430574	410.9332816	853.7528333	2.077594762	1.054914282	1.73E-13	9.57E-12
t3150	5434.445571	7655.698877	3213.192266	0.419712467	-1.252526776	2.12E-13	1.16E-11
t1708	1164.703022	782.266843	1547.139201	1.977764001	0.983870285	2.73E-13	1.47E-11
yaeH	2677.418601	3777.793474	1577.043727	0.417451017	-1.260321171	2.84E-13	1.51E-11
mgtB	10660.58667	5624.738409	15696.43493	2.790607098	1.480579015	3.58E-13	1.88E-11
ydeV	1807.603198	2498.343501	1116.862895	0.447041367	-1.161519756	3.82E-13	1.99E-11
t4145	519.3820746	330.8878283	707.876321	2.139324147	1.097155094	3.91E-13	2.01E-11
ptsO	426.2224905	585.9119977	266.5329834	0.454902757	-1.136369915	7.67E-13	3.90E-11
t3084	1164.347817	784.016108	1544.679527	1.970214019	0.978352354	8.24E-13	4.13E-11
tar	5719.957378	3461.680377	7978.234379	2.304728776	1.204596982	8.70E-13	4.32E-11
tatA	1823.460435	2478.431437	1168.489432	0.471463287	-1.084782663	8.81E-13	4.33E-11
t3272	298.2839309	414.5318448	182.036017	0.439136388	-1.18725901	1.06E-12	5.12E-11
t0450	1250.798393	718.6110927	1782.985693	2.48115526	1.311012016	1.14E-12	5.45E-11
t0860	385.6346733	543.1939531	228.0753934	0.419878373	-1.251956614	1.24E-12	5.90E-11
bolA	565.3701899	771.5507251	359.1896547	0.465542502	-1.10301521	1.39E-12	6.54E-11
rfaH	369.8735414	516.8752263	222.8718565	0.431190828	-1.213601606	1.91E-12	8.86E-11
pspD	2355.886379	1211.696824	3500.075933	2.888573993	1.530357451	1.93E-12	8.86E-11
mtlA	2030.853286	1358.093765	2703.612807	1.990740901	0.993305464	2.19E-12	9.95E-11
t0523	366.661065	195.847091	537.4750391	2.744360595	1.456470057	2.42E-12	1.09E-10
cpxP	22381.31383	32242.2459	12520.38176	0.388322259	-1.364673689	2.54E-12	1.13E-10
safC	820.1654466	546.8437063	1093.487187	1.999633852	0.999735856	2.72E-12	1.20E-10
t1590	1588.318587	1064.523297	2112.113876	1.984093615	0.988480098	3.90E-12	1.68E-10
t0352	2238.904101	3026.696351	1451.111851	0.479437539	-1.06058522	3.89E-12	1.68E-10
hydG	738.8158221	505.9152285	971.7164156	1.920709955	0.941639675	4.04E-12	1.73E-10
ppk	30339.43792	16278.44776	44400.42808	2.727559086	1.447610449	4.55E-12	1.93E-10
t1470	311.5206819	424.212308	198.8290557	0.468701761	-1.09325788	4.64E-12	1.95E-10
t1835	1148.481142	1568.458557	728.5037273	0.464471136	-1.106339151	5.21E-12	2.16E-10
t2738	234.4609297	328.9270483	139.9948111	0.425610517	-1.232394294	5.46E-12	2.23E-10
t2486	453.4156556	263.2711056	643.5602057	2.444477164	1.289525928	5.45E-12	2.23E-10
cheW	708.1633246	399.6041976	1016.722452	2.544323753	1.347282258	6.28E-12	2.53E-10
ddlA	1077.999126	1463.552249	692.4460034	0.473126944	-1.079700771	7.90E-12	3.16E-10
gabT	454.8659379	312.0371285	597.6947473	1.91546035	0.937691162	8.53E-12	3.38E-10
t1733	551.0081349	889.4338211	212.5824486	0.239008731	-2.064864776	9.73E-12	3.82E-10
secF	917.1383808	1225.162904	609.1138579	0.497169687	-1.008189757	1.10E-11	4.30E-10
deoA	400.0500473	273.1171596	526.9829349	1.929512359	0.948236285	1.20E-11	4.63E-10
fliZ	363.5779978	240.9120116	486.243984	2.018346785	1.013174074	1.30E-11	4.96E-10
t2048	603.0892886	393.4356447	812.7429324	2.065758259	1.046671436	1.51E-11	5.72E-10
prpC	530.0525221	284.5752724	775.5297719	2.725218412	1.446371859	1.59E-11	5.98E-10
yihQ	333.8496255	218.9198838	448.7793672	2.04997079	1.035603353	1.65E-11	6.14E-10
manY	1811.511687	1245.140373	2377.883001	1.909730864	0.933369335	1.86E-11	6.86E-10
waaL	2016.574102	1412.677105	2620.471099	1.854968194	0.89139445	1.94E-11	7.09E-10
cheB	364.0483353	245.0045064	483.0921643	1.971768484	0.979490167	2.00E-11	7.27E-10
radC	298.3250701	413.7612279	182.8889123	0.442015588	-1.177830847	2.43E-11	8.73E-10
yiiG	243.3067712	148.9776482	337.6358943	2.266352693	1.180372393	2.48E-11	8.85E-10
scsA	196.1026264	286.825163	105.3800897	0.36740183	-1.444569283	2.63E-11	9.30E-10
tatB	1899.401137	2530.493297	1268.308978	0.501210171	-0.996512403	2.85E-11	1.00E-09
xylA	323.733584	199.5060517	447.9611163	2.245351019	1.166941001	3.36E-11	1.17E-09
t1431	909.758085	1228.315169	591.2010007	0.48131051	-1.054960168	3.57E-11	1.22E-09
t2891	121.0474052	177.2943341	64.80047618	0.365496599	-1.452070113	3.56E-11	1.22E-09
frr	2906.060748	3902.182828	1909.938668	0.489453917	-1.030755063	3.58E-11	1.22E-09
yajD	462.8068634	616.5965264	309.0172003	0.501165977	-0.996639619	4.43E-11	1.49E-09
t1876	829.5346533	1098.240694	560.8286129	0.510660929	-0.969562413	4.68E-11	1.57E-09
glpK	649.9493533	451.9125698	847.9861368	1.876438483	0.907996994	4.82E-11	1.60E-09
cyoE	2792.583513	1941.798639	3643.368388	1.876285375	0.907879272	4.98E-11	1.64E-09
rpsP	1525.706139	2012.659714	1038.752563	0.516109383	-0.954251236	5.89E-11	1.91E-09
t0521	176.6212559	97.70572679	255.536785	2.61537162	1.387015955	5.89E-11	1.91E-09
yjfO	1065.909734	1408.575868	723.243599	0.513457326	-0.961683717	6.14E-11	1.97E-09
t2832	304.5011311	420.7524847	188.2497776	0.447412159	-1.160323631	6.21E-11	1.97E-09
t1005	2268.267567	3122.924848	1413.610286	0.452655877	-1.14351341	6.16E-11	1.97E-09
fabG	2135.899983	2840.945925	1430.854041	0.503654092	-0.989494859	7.02E-11	2.21E-09
pepN	2620.785366	1850.893751	3390.67698	1.831913355	0.873351269	7.10E-11	2.22E-09
ssaE	4022.690532	5577.628804	2467.752261	0.442437521	-1.176454356	7.15E-11	2.22E-09
fadB	127517.3993	68573.0929	186461.7057	2.719167209	1.44316487	7.28E-11	2.25E-09
t3883	335.225489	232.1536611	438.2973168	1.887962114	0.916829814	7.87E-11	2.41E-09
t0866	480.595121	646.8116677	314.3785744	0.48604345	-1.040842805	7.94E-11	2.42E-09
glpF	371.7919429	255.9546078	487.629278	1.905139673	0.929896771	8.91E-11	2.69E-09
argB	335.6637502	219.7755801	451.5519203	2.054604611	1.038860788	9.34E-11	2.80E-09
stpA	277.7133308	178.2668974	377.1597642	2.115702745	1.081136944	1.06E-10	3.15E-09
infA	561.8891645	809.3215993	314.4567298	0.388543602	-1.363851588	1.07E-10	3.16E-09
asnB	1069.301312	751.9219183	1386.680705	1.844181784	0.882980872	1.08E-10	3.16E-09
mdlA	409.8156893	274.529729	545.1016495	1.985583316	0.989562898	1.25E-10	3.63E-09
gor	2188.808266	1541.104275	2836.512257	1.840571273	0.880153617	1.25E-10	3.63E-09
ytfP	2393.51914	3233.664041	1553.374239	0.480375889	-1.057764353	1.26E-10	3.64E-09
hemA	2581.601199	3459.943851	1703.258546	0.492279245	-1.022451181	1.30E-10	3.70E-09
pfkA	1214.97574	848.3710839	1581.580396	1.864255426	0.898599541	1.34E-10	3.81E-09
putA	252.1023098	169.7946648	334.4099547	1.969496244	0.977826666	1.57E-10	4.42E-09
maeB	4691.29157	3306.146349	6076.436791	1.837921298	0.87807499	1.65E-10	4.61E-09
t1320	6321.066606	8644.526723	3997.606488	0.46244365	-1.112650516	1.73E-10	4.83E-09
cspE	20700.78614	29528.15238	11873.4199	0.402105074	-1.314355553	1.76E-10	4.87E-09
ogt	679.9692581	899.2588213	460.6796949	0.512288213	-0.964972396	1.77E-10	4.87E-09
t1622	1213.813859	1606.793834	820.8338837	0.510852025	-0.969022639	1.84E-10	5.02E-09
uxuB	3343.949279	2210.382465	4477.516093	2.025674816	1.018402595	2.16E-10	5.87E-09
mgtC	3164.012935	1890.533186	4437.492685	2.347217556	1.230951567	2.27E-10	6.13E-09
ftsZ	3095.2176	2178.864878	4011.570321	1.841128544	0.880590357	2.39E-10	6.41E-09
pldB	427.8988407	567.0937131	288.7039683	0.509093932	-0.973996225	2.44E-10	6.50E-09
lipB	374.4714919	500.3218749	248.6211088	0.496922324	-1.008907739	2.73E-10	7.23E-09
pdxH	836.8847345	1100.841537	572.9279318	0.520445416	-0.942181232	2.78E-10	7.33E-09
smpB	1433.425641	1948.375219	918.4760635	0.471406151	-1.08495751	3.02E-10	7.91E-09
bfr	1000.462325	1322.715552	678.2090977	0.512739944	-0.963700803	3.25E-10	8.44E-09
t1527	223.8645462	312.8603238	134.8687687	0.431083006	-1.213962406	3.48E-10	9.00E-09
t1018	138.2295681	197.2108875	79.24824872	0.401845201	-1.315288242	3.93E-10	1.01E-08
csrA	455.8091794	620.5942063	291.0241525	0.468944359	-1.092511339	3.96E-10	1.01E-08
t3608	137.1597768	86.99799583	187.3215577	2.153170954	1.106462869	4.18E-10	1.06E-08
rci	314.8955753	420.8641333	208.9270172	0.496423907	-1.010355501	4.36E-10	1.10E-08
deoD	398.2652395	278.412861	518.117618	1.860968693	0.896053785	4.34E-10	1.10E-08
rpmE	1325.974985	1823.043429	828.9065406	0.454682827	-1.137067578	4.66E-10	1.16E-08
t1011	254.7914945	346.1950935	163.3878954	0.471953238	-1.083284173	4.87E-10	1.21E-08
t4593	218.6017123	301.2049533	135.9984713	0.451514724	-1.14715506	5.84E-10	1.44E-08
t0046	561.8000517	753.9298898	369.6702137	0.490324391	-1.028191567	5.91E-10	1.45E-08
pfkB	1882.238617	1348.540444	2415.936789	1.791519713	0.841183919	6.50E-10	1.59E-08
thrA	533.0102387	378.443147	687.5773304	1.81685766	0.861445397	6.65E-10	1.61E-08
t1836	247.5639147	329.641188	165.4866414	0.502020522	-0.994181753	7.05E-10	1.70E-08
t3147	490.503313	672.0965201	308.9101059	0.459621642	-1.121481365	7.33E-10	1.76E-08
tktA	6187.028148	4281.133921	8092.922375	1.890368889	0.918667792	7.68E-10	1.83E-08
t2852	1226.160679	1597.583722	854.7376358	0.535018994	-0.902337984	8.47E-10	2.01E-08
t3575	532.1493894	381.5828896	682.7158892	1.789167984	0.839288847	9.23E-10	2.18E-08
staC	525.4009004	688.6787291	362.1230717	0.525822937	-0.927351021	9.61E-10	2.26E-08
accB	640.1744105	836.9192563	443.4295646	0.529835538	-0.916383481	1.06E-09	2.47E-08
modB	195.0347489	128.9057462	261.1637516	2.026005506	1.018638095	1.13E-09	2.60E-08
mioC	705.983147	921.474736	490.4915579	0.532289751	-0.909716306	1.13E-09	2.60E-08
t3317	1437.314615	1027.461867	1847.167362	1.797796514	0.846229736	1.17E-09	2.67E-08
citT	490.2154588	643.4030421	337.0278756	0.523820768	-0.932854835	1.16E-09	2.67E-08
sbp	149.5809304	95.59537831	203.5664824	2.129459457	1.090487263	1.38E-09	3.13E-08
t0884	175.1420741	114.1782696	236.1058786	2.067870528	1.04814586	1.43E-09	3.24E-08
acs	8217.279468	5793.259282	10641.29965	1.836841601	0.877227222	1.44E-09	3.24E-08
t0422	623.8426684	436.3064386	811.3788983	1.859653735	0.895034019	1.45E-09	3.24E-08
t4266	223.1143604	301.9384939	144.2902269	0.477879534	-1.06528111	1.56E-09	3.48E-08
ygaC	378.0655917	493.606085	262.5250984	0.531851422	-0.910904823	1.73E-09	3.84E-08
sifB	21037.8658	30227.28067	11848.45093	0.391978725	-1.351152743	1.79E-09	3.94E-08
fadA	45461.68779	28159.52485	62763.85074	2.228867535	1.156310878	1.91E-09	4.19E-08
ptsH	4221.828891	5622.141681	2821.516101	0.501857879	-0.994649228	2.34E-09	5.09E-08
t3891	7897.546055	11405.46419	4389.627916	0.384870606	-1.377554604	2.35E-09	5.09E-08
t2864	1277.664886	1660.557824	894.7719486	0.538838176	-0.892076028	2.37E-09	5.12E-08
t4550	1170.949356	829.8346282	1512.064084	1.822127003	0.865623519	2.39E-09	5.14E-08
t1412	289.581695	395.1747317	183.9886582	0.465588114	-1.102873865	2.42E-09	5.18E-08
pspE	2398.072013	1647.048649	3149.095378	1.911962577	0.935054285	2.70E-09	5.74E-08
thiD	168.3509082	110.9546432	225.7471731	2.03458969	1.024737879	3.01E-09	6.36E-08
rpsT	1137.772238	1550.275404	725.2690732	0.467832407	-1.095936294	3.10E-09	6.51E-08
rplJ	7465.875816	9967.031344	4964.720289	0.498114245	-1.005451427	3.10E-09	6.51E-08
cheR	994.8750954	722.7634231	1266.986768	1.752975769	0.809806054	3.20E-09	6.67E-08
t3581	584.4522635	410.8706539	758.0338731	1.844945279	0.883578027	3.67E-09	7.60E-08
yifL	706.8260851	938.6182867	475.0338834	0.506099114	-0.982508146	3.68E-09	7.60E-08
t2163	273.838409	192.771686	354.905132	1.841064626	0.88054027	3.71E-09	7.62E-08
t0361	671.0509269	868.5175	473.5843538	0.545279	-0.8749335	3.98E-09	8.15E-08
t0169	5948.300276	7930.999597	3965.600956	0.500012755	-0.999963198	4.02E-09	8.19E-08
spaT	217.2629199	144.7845569	289.7412829	2.00118914	1.000857529	4.19E-09	8.46E-08
gst	9084.596348	12111.97319	6057.219512	0.500101793	-0.999706316	4.19E-09	8.46E-08
gcl	207.5740676	130.8110502	284.337085	2.173647292	1.12011786	4.83E-09	9.70E-08
t1340	589.1670793	323.7907092	854.5434493	2.639184588	1.400092258	5.55E-09	1.11E-07
t0709	172.9345559	113.4839179	232.385194	2.047736792	1.034030289	7.43E-09	1.48E-07
yejL	453.7211036	588.3650469	319.0771603	0.54231155	-0.882806199	8.10E-09	1.61E-07
sipB	634.9013347	438.2099454	831.5927239	1.897703903	0.924254908	8.38E-09	1.65E-07
hpt	309.3050448	404.1633872	214.4467023	0.530594084	-0.914319505	8.53E-09	1.67E-07
t4620	2699.206197	1949.005827	3449.406566	1.76982876	0.823609779	9.00E-09	1.76E-07
potA	315.9888866	415.5288742	216.4488989	0.52089978	-0.940922268	9.08E-09	1.77E-07
rluB	626.1972593	831.5220369	420.8724818	0.506147117	-0.982371314	9.21E-09	1.78E-07
t4331	658.1828523	362.7179919	953.6477127	2.629171241	1.394608109	1.05E-08	2.02E-07
slyA	358.4133725	491.8362131	224.9905318	0.457450114	-1.128313672	1.10E-08	2.11E-07
cysP	271.7537609	195.3051902	348.2023317	1.782862664	0.834195575	1.12E-08	2.14E-07
atpC	684.013272	931.8863777	436.1401663	0.468018609	-1.095362201	1.24E-08	2.36E-07
t4501	170.8060388	247.5128863	94.09919134	0.380178959	-1.395249408	1.26E-08	2.38E-07
ecnR	275.1549085	367.706944	182.602873	0.496598925	-1.009846957	1.30E-08	2.46E-07
t0572	323.4833971	234.4004703	412.5663239	1.760091708	0.815650601	1.35E-08	2.53E-07
sfhB	2619.640614	3399.025228	1840.256	0.541406985	-0.885214595	1.37E-08	2.56E-07
int	721.0224444	947.2093685	494.8355203	0.52241409	-0.936734286	1.37E-08	2.56E-07
hemE	1234.535245	904.1992898	1564.871201	1.730670681	0.791331229	1.52E-08	2.82E-07
malP	351.6467836	255.3628901	447.930677	1.754094641	0.810726589	1.60E-08	2.95E-07
gtrA	76.6789985	112.2935313	41.06446571	0.365688613	-1.451312391	1.65E-08	3.04E-07
t1617	1043.732446	1328.865466	758.5994247	0.570862472	-0.808784872	1.69E-08	3.10E-07
safD	171.966414	114.3456346	229.5871934	2.007835229	1.005640881	1.74E-08	3.16E-07
t2165	644.2192327	475.2364324	813.202033	1.71115255	0.774968382	1.74E-08	3.16E-07
t1094	311.2082798	149.6983688	472.7181909	3.157804556	1.658921882	1.82E-08	3.30E-07
t2187	146.4101946	199.8639635	92.9564258	0.465098481	-1.104391867	1.99E-08	3.58E-07
t0375	184.5635775	249.0574603	120.0696947	0.482096359	-1.052606562	2.22E-08	3.98E-07
trmU	563.3001161	727.1087801	399.4914521	0.549424602	-0.864006583	2.41E-08	4.31E-07
rfaD	5371.48866	3970.859863	6772.117457	1.705453652	0.770155549	2.44E-08	4.34E-07
proC	1290.33288	974.1103072	1606.555453	1.649254136	0.721813723	2.51E-08	4.44E-07
flgK	2044.713489	1463.852229	2625.57475	1.793606415	0.842863344	2.64E-08	4.66E-07
t4565	188.4830526	253.8922133	123.0738919	0.484748588	-1.044691399	2.99E-08	5.25E-07
groES	3701.420067	5274.124821	2128.715313	0.403614891	-1.308948693	3.16E-08	5.52E-07
t1589	753.9101596	546.8241602	960.996159	1.757413496	0.813453678	3.20E-08	5.53E-07
t1513	554.8597571	733.3563581	376.3631561	0.513206372	-0.962389011	3.19E-08	5.53E-07
t0923	403.7594253	252.8911137	554.627737	2.193148382	1.133003424	3.19E-08	5.53E-07
moeA	795.4260617	586.6077868	1004.244337	1.711951937	0.775642199	3.24E-08	5.57E-07
yiaE	837.4281403	626.8328647	1048.023416	1.671934378	0.741518224	3.36E-08	5.77E-07
ftsE	1105.342816	820.2644742	1390.421158	1.695088842	0.761360889	3.44E-08	5.88E-07
spaS	210.7531106	148.9067605	272.5994606	1.830672158	0.872373452	3.54E-08	6.03E-07
t2809	73.52761938	108.3477716	38.7074672	0.357252084	-1.484985667	3.57E-08	6.05E-07
t1584	557.0058401	715.2671811	398.744499	0.557476296	-0.843017631	3.64E-08	6.12E-07
dapF	1421.799072	1818.505577	1025.092567	0.563700535	-0.826999157	3.63E-08	6.12E-07
purL	518.508773	382.8042203	654.2133258	1.709002386	0.773154411	3.81E-08	6.38E-07
rpsU	1089.825343	1392.761225	786.8894602	0.564985186	-0.823715054	4.60E-08	7.64E-07
acnB	15916.88232	11279.93059	20553.83405	1.822159622	0.865649345	4.60E-08	7.64E-07
yadF	2812.274135	3609.582304	2014.965965	0.558226907	-0.84107643	4.64E-08	7.68E-07
yfhF	8591.115792	11434.80087	5747.430715	0.502626218	-0.992442168	4.95E-08	8.16E-07
t0714	368.4208589	276.0403479	460.80137	1.669326146	0.73926585	5.15E-08	8.46E-07
uraA	51.04310987	27.78578201	74.30043774	2.674045226	1.419023866	5.18E-08	8.46E-07
t4555	341.0349579	438.4354501	243.6344658	0.555690617	-0.847646214	5.46E-08	8.89E-07
t0660	493.4734961	367.9018503	619.0451419	1.682636663	0.750723685	6.24E-08	1.01E-06
ptsG	10954.24416	7870.159953	14038.32836	1.783741175	0.834906292	6.61E-08	1.07E-06
spaP	173.9568037	96.72882076	251.1847866	2.59679364	1.376731372	7.08E-08	1.14E-06
t1556	656.8024455	836.1644537	477.4404374	0.57098868	-0.808465952	7.31E-08	1.17E-06
t0524	592.0177232	443.932807	740.1026395	1.667150136	0.737384033	7.29E-08	1.17E-06
t3609	206.5530843	141.1099044	271.9962641	1.927549064	0.946767583	7.38E-08	1.17E-06
hupB	4508.599741	5953.622424	3063.577058	0.514573623	-0.95855059	7.38E-08	1.17E-06
tviC	150.3104976	201.9796895	98.64130565	0.4883724	-1.033946426	7.64E-08	1.21E-06
t2490	235.2521529	164.2533187	306.2509872	1.864504107	0.898791975	7.87E-08	1.23E-06
gmd	197.6177258	135.0961476	260.1393041	1.925586397	0.945297855	7.89E-08	1.23E-06
cpxA	1423.607457	1074.510593	1772.704321	1.649778357	0.722272215	7.88E-08	1.23E-06
yfhI	4113.263584	3045.826896	5180.700273	1.700917501	0.766313168	8.60E-08	1.34E-06
recN	4368.844317	3109.499501	5628.189132	1.809998403	0.855988425	8.66E-08	1.34E-06
t3916	1122.736102	845.6359536	1399.83625	1.655365106	0.727149452	8.68E-08	1.34E-06
t0680	203.1931062	144.5886555	261.7975569	1.810636913	0.856497272	9.17E-08	1.41E-06
rnhA	289.1912899	372.892056	205.4905237	0.551072409	-0.859686198	9.54E-08	1.47E-06
xylB	273.5436648	198.9757249	348.1116047	1.749517962	0.806957477	9.85E-08	1.51E-06
ttrS	1238.134936	1575.114101	901.15577	0.572120946	-0.80560793	9.95E-08	1.52E-06
t2957	648.7817788	828.5479264	469.0156311	0.566069404	-0.820949146	1.07E-07	1.62E-06
t1911	110.2730795	154.7655943	65.78056475	0.425033516	-1.234351485	1.09E-07	1.65E-06
cysA	72.96308581	46.38862056	99.53755105	2.145732075	1.101469946	1.11E-07	1.68E-06
t2359	1292.068638	896.3883783	1687.748897	1.882832194	0.912904427	1.16E-07	1.75E-06
cadA	517.0889037	657.7353437	376.4424637	0.572331208	-0.805077819	1.19E-07	1.79E-06
