"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
ydeV	1747.770902	2498.343501	997.1983019	0.399143793	-1.325019518	8.33E-22	8.45E-20
t1622	1130.836614	1606.793834	654.8793929	0.407569023	-1.294883691	1.31E-21	1.29E-19
t3946	10017.452	5557.356703	14477.5473	2.605113919	1.381346462	1.92E-21	1.84E-19
t1905	415.0492879	225.7149745	604.3836013	2.677640696	1.420962383	3.09E-21	2.90E-19
yihQ	402.1549057	218.9198838	585.3899276	2.673991587	1.418994926	3.65E-21	3.35E-19
pmrD	2852.495872	4225.958136	1479.033609	0.349987757	-1.51462364	4.57E-21	4.11E-19
rbsD	1750.423546	2665.398989	835.4481029	0.313442042	-1.673729391	5.12E-21	4.51E-19
mgtB	12020.00669	5624.738409	18415.27497	3.273978917	1.711045032	1.51E-20	1.31E-18
t4179	612.1347349	383.7604244	840.5090454	2.190192089	1.131057406	1.62E-20	1.37E-18
radC	287.6976132	413.7612279	161.6339985	0.390645589	-1.356067771	2.37E-20	1.97E-18
t0865	457.9681604	648.1993776	267.7369432	0.413047208	-1.275621415	3.61E-20	2.94E-18
recN	5371.962663	3109.499501	7634.425825	2.45519442	1.295837272	6.10E-20	4.88E-18
stpA	325.2434738	178.2668974	472.2200502	2.648949733	1.405420467	6.57E-20	5.16E-18
t0352	2164.030229	3026.696351	1301.364106	0.429961897	-1.217719279	1.04E-19	8.01E-18
t3147	478.556825	672.0965201	285.0171299	0.424071724	-1.237619804	1.09E-19	8.14E-18
rpsO	1923.471743	2702.17351	1144.769977	0.423647842	-1.239062574	1.09E-19	8.14E-18
rrmA	1030.299481	627.3849129	1433.21405	2.284425431	1.19183135	1.54E-19	1.12E-17
smpB	1357.217691	1948.375219	766.0601622	0.39317897	-1.346741936	1.56E-19	1.12E-17
t1589	921.5451013	546.8241602	1296.266042	2.370535424	1.245212952	1.64E-19	1.14E-17
rpsV	679.2474405	1003.333518	355.1613628	0.35398136	-1.498254704	1.63E-19	1.14E-17
ddlA	998.6544777	1463.552249	533.7567066	0.364699454	-1.455220053	2.29E-19	1.57E-17
fliZ	414.2108618	240.9120116	587.5097119	2.438689993	1.286106374	2.62E-19	1.77E-17
spaS	262.5332496	148.9067605	376.1597387	2.526142784	1.336936186	2.68E-19	1.78E-17
ytfK	5828.07568	8558.578895	3097.572465	0.361926028	-1.466233231	3.71E-19	2.43E-17
t0884	200.842109	114.1782696	287.5059485	2.518044366	1.332303703	4.59E-19	2.96E-17
flgK	2463.659495	1463.852229	3463.466761	2.365994799	1.242446902	1.00E-18	6.38E-17
t0560	2060.120526	2969.282838	1150.958215	0.387621617	-1.367279066	1.57E-18	9.81E-17
rpmB	2281.421583	3173.387388	1389.455778	0.437846253	-1.191503728	1.60E-18	9.85E-17
bfr	948.9893779	1322.715552	575.2632038	0.434910743	-1.201208748	1.94E-18	1.18E-16
t3608	156.3509069	86.99799583	225.703818	2.594356523	1.375376752	3.08E-18	1.85E-16
argB	371.4692137	219.7755801	523.1628473	2.380441207	1.251228997	3.34E-18	1.98E-16
yaeH	2588.935122	3777.793474	1400.07677	0.370607017	-1.432037898	3.82E-18	2.23E-16
t3273	291.1574732	414.5318448	167.7831017	0.404753226	-1.304885514	5.26E-18	2.99E-16
t3883	367.9008654	232.1536611	503.6480696	2.169459948	1.117335952	5.24E-18	2.99E-16
t2864	1207.467434	1660.557824	754.3770441	0.454291343	-1.138310281	5.48E-18	3.07E-16
thiD	195.4105856	110.9546432	279.8665279	2.522350753	1.334768908	1.96E-17	1.08E-15
t2490	283.0607507	164.2533187	401.8681828	2.44663661	1.290799839	2.10E-17	1.15E-15
t0422	694.8995348	436.3064386	953.4926309	2.185373734	1.127880025	2.50E-17	1.35E-15
ttrS	1146.712183	1575.114101	718.3102652	0.456036972	-1.132777303	2.94E-17	1.55E-15
yfhF	7928.603859	11434.80087	4422.40685	0.386749791	-1.370527582	2.93E-17	1.55E-15
safC	848.5017358	546.8437063	1150.159765	2.10326964	1.072633816	3.17E-17	1.65E-15
gltS	729.7882102	467.4472347	992.1291857	2.12244102	1.085724464	3.60E-17	1.85E-15
yacC	483.8548548	666.8552584	300.8544512	0.451154051	-1.148307955	4.44E-17	2.25E-15
yheA	285.9127705	466.0902775	105.7352635	0.226855759	-2.140152812	9.45E-17	4.75E-15
mgtC	3585.141076	1890.533186	5279.748966	2.792730117	1.481676162	9.95E-17	4.94E-15
ssaE	3791.54574	5577.628804	2005.462675	0.359554704	-1.47571681	1.25E-16	6.13E-15
t1876	805.7632768	1098.240694	513.28586	0.467371008	-1.097359851	1.27E-16	6.15E-15
spaT	244.3773364	144.7845569	343.9701159	2.375737602	1.248375501	1.30E-16	6.24E-15
scsA	199.489783	286.825163	112.1544029	0.391020096	-1.354685338	1.34E-16	6.34E-15
tar	5998.986858	3461.680377	8536.293338	2.465939199	1.302137229	1.67E-16	7.86E-15
yiiG	264.8554999	148.9776482	380.7333516	2.55564077	1.35368506	1.75E-16	8.10E-15
t1320	6004.393567	8644.526723	3364.260411	0.389178091	-1.361497598	2.58E-16	1.19E-14
t1798	590.4713743	807.9427189	373.0000296	0.461666429	-1.115077268	3.19E-16	1.45E-14
asnA	1222.16599	791.8768211	1652.455158	2.086757831	1.061263185	3.90E-16	1.75E-14
ptsH	4038.682214	5622.141681	2455.222746	0.436705954	-1.195265894	4.12E-16	1.84E-14
pdxH	783.6999808	1100.841537	466.5584245	0.423819786	-1.238477154	5.51E-16	2.43E-14
t2738	232.5335805	328.9270483	136.1401127	0.41389151	-1.27267544	5.57E-16	2.43E-14
t1044	2100.623102	1353.081944	2848.164261	2.104945878	1.073783139	6.74E-16	2.91E-14
t2852	1177.845128	1597.583722	758.1065349	0.474533212	-1.075419032	7.81E-16	3.34E-14
rluB	585.4849113	831.5220369	339.4477856	0.408224642	-1.292564824	9.19E-16	3.85E-14
t2423	95.91390243	49.25714404	142.5706608	2.894415898	1.533272237	9.18E-16	3.85E-14
gntR	833.9557185	1138.306282	529.6051548	0.465257166	-1.103899724	1.03E-15	4.29E-14
gst	8550.706234	12111.97319	4989.439282	0.411942729	-1.279484318	1.22E-15	5.02E-14
rph	694.8561921	445.5699503	944.1424338	2.118954461	1.083352582	1.50E-15	6.10E-14
hutH	528.9125159	339.301237	718.5237947	2.117657457	1.082469244	1.80E-15	7.26E-14
t0866	452.3099801	646.8116677	257.8082924	0.398583244	-1.327047034	2.54E-15	1.02E-13
cheW	734.9267813	399.6041976	1070.249365	2.67827358	1.421303337	2.75E-15	1.09E-13
rpmG	746.3165802	1009.151213	483.4819477	0.479097623	-1.061608438	2.86E-15	1.12E-13
t3974	247.7393914	150.526412	344.9523709	2.291640161	1.196380526	3.00E-15	1.17E-13
wcaE	200.2958246	121.3884335	279.2032157	2.300080887	1.201684597	3.22E-15	1.24E-13
t1018	133.9745849	197.2108875	70.73828236	0.358693596	-1.479176108	3.76E-15	1.44E-13
yajD	453.732758	616.5965264	290.8689896	0.471733098	-1.083957268	4.12E-15	1.56E-13
cheB	378.8907195	245.0045064	512.7769326	2.092928575	1.065523078	5.25E-15	1.97E-13
wcaF	158.9188951	90.33027667	227.5075136	2.518618585	1.332632659	5.61E-15	2.09E-13
spaI	223.2801988	142.794864	303.7655336	2.12728613	1.089014096	6.32E-15	2.31E-13
gmd	227.1956886	135.0961476	319.2952296	2.363466578	1.240904464	6.28E-15	2.31E-13
hydG	773.7324448	505.9152285	1041.549661	2.058743446	1.041764057	6.52E-15	2.37E-13
t4167	5098.990551	3223.438956	6974.542145	2.163696053	1.113497849	7.92E-15	2.85E-13
t3589	777.2375086	503.0198954	1051.455122	2.090285357	1.063699907	9.41E-15	3.35E-13
rpmE	1295.665414	1823.043429	768.2873997	0.421431211	-1.246630932	9.47E-15	3.35E-13
t1431	888.9078919	1228.315169	549.5006147	0.447361254	-1.160487784	1.22E-14	4.30E-13
lipB	367.471047	500.3218749	234.6202191	0.468938559	-1.092529183	1.27E-14	4.38E-13
usg	511.0071206	344.8077616	677.2064796	1.964011704	0.973803527	1.28E-14	4.38E-13
ptsN	1191.394011	1599.220485	783.5675374	0.489968422	-1.029239323	1.27E-14	4.38E-13
acnA	4514.435832	2971.448876	6057.422789	2.038541817	1.027537551	1.45E-14	4.90E-13
recA	23738.04809	13871.60981	33604.48638	2.422536881	1.27651863	1.44E-14	4.90E-13
t1835	1111.846938	1568.458557	655.235319	0.417757496	-1.25926238	1.51E-14	5.04E-13
safB	267.8101129	147.1973824	388.4228435	2.638789068	1.399876033	1.53E-14	5.08E-13
cheR	1095.761187	722.7634231	1468.758951	2.032143443	1.023002242	1.67E-14	5.51E-13
t4334	704.036966	365.0359122	1043.03802	2.857357276	1.514681438	1.75E-14	5.71E-13
fucI	281.5175699	177.7405766	385.2945633	2.167735532	1.116188756	2.28E-14	7.41E-13
cpxP	22365.72809	32242.2459	12489.21028	0.387355469	-1.368269986	2.41E-14	7.77E-13
t3609	237.5227197	141.1099044	333.9355349	2.366492531	1.242750369	2.47E-14	7.89E-13
ygbE	257.997145	386.1825126	129.8117774	0.336141004	-1.572861556	2.91E-14	9.25E-13
accB	629.4674999	836.9192563	422.0157434	0.504249054	-0.987791622	3.52E-14	1.11E-12
thrA	558.1933295	378.443147	737.943512	1.949945501	0.963433803	4.03E-14	1.26E-12
pstS	2200.56536	1489.484148	2911.646572	1.954801987	0.967022476	4.36E-14	1.35E-12
slsA	344.5222552	215.3146818	473.7298286	2.200174297	1.137617818	5.08E-14	1.57E-12
t1079	663.6155437	398.4162679	928.8148195	2.331267306	1.221114435	5.37E-14	1.64E-12
proP	1327.903859	876.9111728	1778.896545	2.028593773	1.020479994	5.45E-14	1.66E-12
safD	191.9719108	114.3456346	269.598187	2.357747963	1.237409506	6.05E-14	1.83E-12
t1502	367.5200214	509.5377052	225.5023375	0.442562612	-1.17604652	6.45E-14	1.93E-12
t4301	223.1882603	137.125735	309.2507856	2.255235209	1.173277907	6.83E-14	2.03E-12
pfkA	1239.607622	848.3710839	1630.844159	1.922324075	0.942851573	7.00E-14	2.07E-12
sipB	691.088588	438.2099454	943.9672307	2.154143786	1.107114551	7.97E-14	2.34E-12
yejL	436.614298	588.3650469	284.8635492	0.484161238	-1.046440515	8.78E-14	2.56E-12
oraA	536.3840314	352.8948304	719.8732324	2.039908694	1.028504579	9.39E-14	2.72E-12
ygaC	370.4914797	493.606085	247.3768743	0.50116253	-0.996649541	9.64E-14	2.78E-12
fdx	1095.347228	1459.212179	731.4822766	0.501285753	-0.996294862	1.02E-13	2.92E-12
t3851	718.4760702	953.8759309	483.0762096	0.506435055	-0.981550824	1.16E-13	3.30E-12
t1617	970.2396757	1328.865466	611.613885	0.460252675	-1.11950199	1.30E-13	3.67E-12
t3198	1625.833909	1042.822585	2208.845233	2.118140963	1.082798604	1.34E-13	3.75E-12
wzc	163.5935801	102.0115016	225.1756586	2.207355593	1.142319058	1.68E-13	4.67E-12
flgL	2045.530067	1348.427817	2742.632317	2.033948189	1.02428293	1.75E-13	4.85E-12
trxA	5493.658863	7480.682046	3506.635681	0.468758819	-1.093082262	1.77E-13	4.86E-12
t1906	1215.920178	615.8581394	1815.982216	2.948702144	1.560080099	1.79E-13	4.90E-12
infB	2654.706139	1789.036875	3520.375402	1.967748933	0.976546157	1.90E-13	5.15E-12
t3512	181.3215857	111.0789512	251.5642202	2.264733485	1.179341283	2.01E-13	5.41E-12
t3116	639.3780629	857.278328	421.4777978	0.491646393	-1.024307036	2.20E-13	5.89E-12
hutU	852.7146251	590.5827487	1114.846501	1.887705836	0.916633965	2.31E-13	6.16E-12
phnO	418.2391228	558.3830426	278.095203	0.49803662	-1.00567627	2.46E-13	6.53E-12
mreB	983.8613804	676.987591	1290.73517	1.906586157	0.930991727	2.55E-13	6.72E-12
t1132	2206.258806	1481.779016	2930.738595	1.977851328	0.983933985	2.94E-13	7.69E-12
rpmD	1759.992623	1199.901781	2320.083466	1.933561148	0.95126039	3.32E-13	8.53E-12
hexR	1467.662932	1984.794157	950.5317062	0.478906945	-1.062182738	3.31E-13	8.53E-12
tcfA	377.2896724	243.2824858	511.2968591	2.101659137	1.071528701	3.29E-13	8.53E-12
t0018	1716.413756	1137.242596	2295.584917	2.018553407	1.013321758	3.54E-13	9.05E-12
t1424	2010.853668	2794.805226	1226.90211	0.43899378	-1.187727596	3.77E-13	9.51E-12
t1907	2681.620927	1588.523307	3774.718546	2.376243729	1.248682819	3.74E-13	9.51E-12
mdlA	402.088261	274.529729	529.646793	1.929287567	0.948068198	3.80E-13	9.54E-12
sfhB	2550.788986	3399.025228	1702.552745	0.500894413	-0.997421576	4.22E-13	1.05E-11
ybfM	733.0213721	967.3114922	498.731252	0.515584955	-0.955717929	4.35E-13	1.08E-11
katE	504.6237044	355.1996903	654.0477184	1.841352164	0.880765573	4.40E-13	1.09E-11
tcfD	1083.911345	1425.340612	742.4820783	0.520915543	-0.940878612	4.55E-13	1.11E-11
uraA	58.45832165	27.78578201	89.13086129	3.207786675	1.681578203	4.56E-13	1.11E-11
t2891	117.5900201	177.2943341	57.88570612	0.326494958	-1.614867384	4.67E-13	1.13E-11
menB	950.7884928	668.5337734	1233.043212	1.844399283	0.88315101	4.83E-13	1.16E-11
ilvG	330.8401336	213.4560229	448.2242443	2.099843509	1.070281815	5.39E-13	1.29E-11
t3108	4769.613854	6496.361089	3042.866618	0.468395549	-1.094200729	5.52E-13	1.32E-11
t2571	208.5722975	136.9891856	280.1554093	2.045091429	1.032165342	5.61E-13	1.33E-11
yhfA	1173.709097	1606.627732	740.7904629	0.461084076	-1.116898254	6.49E-13	1.53E-11
t3101	1314.744919	1793.491536	835.9983021	0.466128936	-1.10119902	7.22E-13	1.69E-11
yjeH	347.5947946	464.0894515	231.1001376	0.497964642	-1.005884787	7.43E-13	1.73E-11
xseB	809.4524588	1060.769809	558.1351087	0.526160439	-0.926425315	8.26E-13	1.92E-11
t2564	601.4840313	421.5762816	781.391781	1.853500339	0.890252379	8.30E-13	1.92E-11
groES	3428.741598	5274.124821	1583.358376	0.300212534	-1.735943885	8.74E-13	2.01E-11
rfaH	389.4989218	516.8752263	262.1226174	0.507129388	-0.979574213	8.98E-13	2.05E-11
hpt	302.2516776	404.1633872	200.339968	0.495690541	-1.012488366	9.38E-13	2.13E-11
t4331	815.9734094	362.7179919	1269.228827	3.499216623	1.807031979	9.70E-13	2.19E-11
ptsJ	277.2995927	182.0237957	372.5753897	2.046849909	1.033405316	1.02E-12	2.28E-11
t4180	192.9694255	124.8333105	261.1055405	2.091633552	1.064630118	1.06E-12	2.38E-11
frr	2937.670011	3902.182828	1973.157194	0.505654727	-0.983775479	1.12E-12	2.48E-11
spaR	160.1490659	95.91651833	224.3816135	2.339342769	1.226103266	1.12E-12	2.48E-11
t3882	259.118108	171.8945858	346.3416302	2.014848976	1.010671705	1.24E-12	2.74E-11
glnH	3830.575632	5229.579015	2431.57225	0.464965199	-1.104805354	1.31E-12	2.87E-11
t3317	1446.495278	1027.461867	1865.528688	1.81566708	0.860499695	1.41E-12	3.07E-11
t1665	997.1656567	1307.282776	687.0485378	0.525554647	-0.928087312	1.47E-12	3.19E-11
purH	386.8931835	262.8651035	510.9212635	1.943663334	0.958778348	1.48E-12	3.20E-11
emrD	879.964873	628.0729304	1131.856816	1.802110489	0.849687467	1.63E-12	3.49E-11
infA	583.2066503	809.3215993	357.0917014	0.441223491	-1.180418492	1.64E-12	3.50E-11
t1733	539.7939168	889.4338211	190.1540126	0.213792199	-2.225718882	1.68E-12	3.58E-11
t4360	271.636012	179.3327754	363.9392485	2.029407327	1.021058461	1.73E-12	3.66E-11
mrcA	832.1801781	569.5989228	1094.761433	1.921986489	0.942598194	1.77E-12	3.74E-11
nagE	1323.405607	954.8733368	1691.937877	1.771897708	0.82529532	2.14E-12	4.50E-11
ybbA	1140.535731	1533.869887	747.2015764	0.487134915	-1.037606705	2.36E-12	4.92E-11
t1412	293.3000902	395.1747317	191.4254488	0.484407108	-1.045708062	2.38E-12	4.93E-11
modB	202.0016806	128.9057462	275.0976149	2.134098929	1.093627056	2.38E-12	4.93E-11
tctD	1669.193989	2336.5849	1001.803079	0.428746706	-1.221802509	2.44E-12	5.01E-11
hemA	2599.879229	3459.943851	1739.814607	0.502844752	-0.991815043	2.46E-12	5.03E-11
panD	1321.309952	1740.496639	902.1232658	0.518313708	-0.948102547	2.50E-12	5.06E-11
yifL	692.6534514	938.6182867	446.6886161	0.475900185	-1.07126908	2.49E-12	5.06E-11
t1470	319.4390141	424.212308	214.6657202	0.506033692	-0.982694652	2.58E-12	5.21E-11
t1794	925.8830166	1214.813277	636.9527559	0.52432153	-0.931476308	2.65E-12	5.32E-11
t1621	965.1256961	1261.885109	668.3662835	0.529657002	-0.916869701	2.77E-12	5.54E-11
t3024	329.8537048	441.9580129	217.7493966	0.492692496	-1.021240595	3.14E-12	6.24E-11
sbp	154.1293043	95.59537831	212.6632302	2.224618323	1.153557835	3.18E-12	6.31E-11
trmA	1027.244714	705.1925242	1349.296904	1.913373805	0.936118753	3.42E-12	6.75E-11
t1827	248.420545	350.5413093	146.2997807	0.417353895	-1.26065686	3.67E-12	7.20E-11
t0037	315.5288655	214.6090193	416.4487116	1.940499579	0.95642812	3.71E-12	7.25E-11
t1225	1340.954142	910.3356462	1771.572638	1.946065328	0.960560141	3.98E-12	7.74E-11
t0087	98.06662834	46.20604442	149.9272123	3.244753239	1.698108766	4.09E-12	7.91E-11
yijP	465.9453321	307.1216787	624.7689855	2.03427185	1.024512487	4.18E-12	8.05E-11
sifB	20449.3263	30227.28067	10671.37194	0.353037776	-1.502105531	4.56E-12	8.75E-11
t0474	848.5890952	1132.758455	564.4197356	0.498270159	-1.00499992	4.78E-12	9.14E-11
t4332	1204.313297	536.0387769	1872.587818	3.49338126	1.804624104	4.97E-12	9.45E-11
tatA	1888.049824	2478.431437	1297.66821	0.52358447	-0.933505789	5.19E-12	9.82E-11
hupB	4251.507792	5953.622424	2549.393161	0.428208741	-1.22361385	5.31E-12	1.00E-10
rpsE	4184.791267	2865.311337	5504.271198	1.921002834	0.941859647	5.51E-12	1.03E-10
dcp	1126.480605	820.5717594	1432.38945	1.745599252	0.803722389	5.55E-12	1.04E-10
speG	1276.951925	1707.043259	846.860591	0.496097909	-1.011303219	5.66E-12	1.05E-10
phoP	8704.521249	11887.20641	5521.83609	0.46451924	-1.106189741	5.73E-12	1.06E-10
t3727	186.3081166	122.4618168	250.1544164	2.042713581	1.030486931	5.96E-12	1.10E-10
hslJ	331.2229691	438.1577682	224.2881699	0.511889064	-0.966096909	6.08E-12	1.11E-10
rplD	3407.174296	2361.337364	4453.011228	1.88580052	0.915177076	6.07E-12	1.11E-10
purD	349.6530002	227.5201472	471.7858531	2.073600333	1.052137855	6.30E-12	1.15E-10
xylA	322.0931769	199.5060517	444.6803021	2.228906333	1.156335991	6.63E-12	1.20E-10
t3141	244.0390558	327.5822683	160.4958433	0.48994057	-1.029321334	6.77E-12	1.22E-10
t3907	349.9616427	229.1152208	470.8080647	2.054896497	1.039065729	6.82E-12	1.23E-10
t4123	558.2534179	376.5420495	739.9647863	1.965158439	0.974645633	6.98E-12	1.25E-10
araD	209.1003346	137.8062717	280.3943976	2.034699831	1.024815976	7.14E-12	1.27E-10
t1513	561.2458956	733.3563581	389.1354331	0.530622567	-0.914242062	7.26E-12	1.29E-10
t3605	97.33664472	54.0745184	140.598771	2.600092894	1.378563168	7.31E-12	1.29E-10
citT	491.0013745	643.4030421	338.599707	0.526263764	-0.926142032	7.36E-12	1.30E-10
t2957	632.3426612	828.5479264	436.1373959	0.52638765	-0.925802454	7.91E-12	1.39E-10
t2205	940.5760393	1230.329939	650.8221396	0.528981795	-0.918710022	8.87E-12	1.55E-10
stgD	516.3580235	347.2021248	685.5139221	1.974394375	0.981410189	9.00E-12	1.57E-10
t4333	612.6219896	313.98659	911.2573892	2.902217541	1.537155663	9.23E-12	1.60E-10
fliA	672.3819329	432.7419745	912.0218914	2.107542011	1.07556139	1.00E-11	1.73E-10
fabG	2170.06902	2840.945925	1499.192116	0.527708783	-0.9221861	1.02E-11	1.75E-10
seqA	1058.942906	1437.099348	680.7864634	0.473722617	-1.077885544	1.06E-11	1.81E-10
t0034	266.0681485	172.6048314	359.5314655	2.082974519	1.058645191	1.15E-11	1.96E-10
livH	92.65475115	51.95876787	133.3507344	2.566472222	1.359786646	1.29E-11	2.19E-10
t3869	1356.176082	1771.908011	940.4441533	0.530752244	-0.913889529	1.31E-11	2.22E-10
t4174	193.9226995	125.8208843	262.0245147	2.082520053	1.058330388	1.37E-11	2.31E-10
t1527	236.2911501	312.8603238	159.7219764	0.510521674	-0.969955882	1.38E-11	2.33E-10
t4568	164.8118076	107.5876051	222.0360101	2.063769427	1.045281796	1.42E-11	2.37E-10
hydH	585.6665378	410.9332816	760.3997941	1.850421536	0.887853962	1.50E-11	2.50E-10
t2206	2587.105608	3409.213276	1764.997939	0.517714146	-0.949772357	1.59E-11	2.64E-10
t2916	331.8907695	438.1465462	225.6349927	0.514976084	-0.957422661	1.61E-11	2.66E-10
yhjQ	881.5270025	619.3102554	1143.74375	1.846802535	0.885029618	1.72E-11	2.83E-10
rplV	2718.409291	1909.165495	3527.653087	1.847746095	0.885766525	1.72E-11	2.83E-10
ggt	310.7287962	216.5796957	404.8778967	1.869417609	0.902588888	1.75E-11	2.87E-10
rplR	3201.883333	2239.570549	4164.196117	1.859372601	0.894815902	1.78E-11	2.90E-10
t3515	621.8181449	421.0792273	822.5570626	1.953449634	0.966024059	2.02E-11	3.28E-10
entD	186.8380908	119.7111798	253.9650018	2.121481071	1.085071806	2.11E-11	3.41E-10
t0860	378.293676	543.1939531	213.3933988	0.392849364	-1.347951871	2.37E-11	3.81E-10
ybaZ	291.0446152	383.6339091	198.4553213	0.51730391	-0.950915998	2.56E-11	4.11E-10
yiaD	219.8533205	143.4690679	296.2375732	2.064818414	1.046014912	2.71E-11	4.33E-10
t3091	278.6016333	192.8135951	364.3896715	1.889854662	0.918275289	2.74E-11	4.36E-10
tdcE	232.0712894	156.1210421	308.0215366	1.972966184	0.980366229	2.85E-11	4.52E-10
sanA	672.5989366	880.7268521	464.471021	0.527372386	-0.923106065	2.93E-11	4.63E-10
t0338	177.1924611	113.9601172	240.4248049	2.109727603	1.077056738	3.27E-11	5.16E-10
yejG	4350.246017	5968.723525	2731.768509	0.457680524	-1.127587195	3.48E-11	5.46E-10
ftsI	992.3509914	720.8354012	1263.866582	1.753335893	0.810102405	4.11E-11	6.43E-10
modA	866.0378358	601.394199	1130.681473	1.880100398	0.910809704	4.25E-11	6.62E-10
t3687	216.4233799	145.5529833	287.2937764	1.973808918	0.980982331	4.36E-11	6.77E-10
t3726	280.8616891	183.8897103	377.8336678	2.054675421	1.038910508	5.04E-11	7.79E-10
t3734	893.9626638	1151.830447	636.094881	0.552246976	-0.856614481	5.41E-11	8.31E-10
ytfP	2452.785595	3233.664041	1671.907149	0.517031803	-0.951675071	5.41E-11	8.31E-10
pgsA	1211.369832	1567.238811	855.5008525	0.545865025	-0.873383832	5.55E-11	8.50E-10
yajC	1014.265448	1327.658006	700.8728902	0.527901679	-0.921658841	5.86E-11	8.94E-10
gidA	360.7147649	252.362907	469.0666229	1.858698763	0.894292973	6.12E-11	9.30E-10
gdhA	3406.99812	4602.297525	2211.698715	0.480564045	-1.057199382	6.22E-11	9.42E-10
t2964	679.9559269	882.7631902	477.1486636	0.540517173	-0.887587641	6.28E-11	9.49E-10
t4565	186.2431167	253.8922133	118.5940201	0.46710381	-1.098184883	6.63E-11	9.98E-10
